E_CT/eV	Delta V_oc_nr/V
1.01	0.42
1.58	0.35
1.55	0.37
1.5	0.33
1.49	0.33
1.48	0.32
1.45	0.39
1.08	0.46
1.02	0.47
1.08	0.45
1	0.48
1.02	0.53
1.05	0.56
0.75	0.52
0.73	0.55
0.73	0.55
1.34	0.34
1.34	0.33
1.55	0.33
1.55	0.32
1.45	0.32
1.37	0.24
1.35	0.3
1.45	0.23
1.44	0.33
1.38	0.33
1.33	0.38
1.47	0.27
1.54	0.33
1.13	0.42
1.45	0.36
1.46	0.34
1.54	0.32
1.42	0.35
1.46	0.4
1.47	0.29
1.43	0.31
1.52	0.37
1.44	0.31
1.26	0.36
1.52	0.31
1.48	0.38
1.55	0.34
1.19	0.38
0.97	0.42
0.96	0.43
1.61	0.36
1.48	0.26
1.47	0.38
1.46	0.34
1.47	0.35
1.47	0.35
1.47	0.36
1.47	0.36
1.46	0.35
1.15	0.38
1.11	0.31
1.12	0.39
1.13	0.41
1.13	0.39
1.12	0.41
1.13	0.44
1.46	0.36
1.45	0.32
1.44	0.34
1.45	0.36
1.46	0.43
1.51	0.32
1.47	0.32
0.91	0.5
0.89	0.56
0.85	0.57
0.83	0.61
0.88	0.61
0.82	0.53
0.75	0.56
0.91	0.48
0.83	0.52
0.86	0.53
0.87	0.54
0.92	0.5
0.82	0.54
0.98	0.42
0.96	0.45
0.96	0.46
0.87	0.5
0.87	0.5
0.87	0.52
1.54	0.32
1.37	0.31
1.18	0.37
1.31	0.39
1.46	0.34
1.02	0.55
1.41	0.4
1.45	0.3
1.4	0.97
1.06	0.48
2.59	0.29
1.74	0.27
1.72	0.3
1.72	0.31
1.71	0.44
1.21	0.53
1.17	0.63
1.11	0.47
0.99	0.43
1.15	0.44
1.32	0.39
0.98	0.55
1.12	0.51
1.73	0.45
1.74	0.23
1.55	0.53
1.54	0.28
1.69	0.21
1.33	0.32
1.43	0.29
1.7	0.3
1.73	0.4
1.35	0.35
1.45	0.3
1.64	0.33
1.66	0.38
1.66	0.32
1.63	0.41
1.66	0.41
1.22	0.45
1.44	0.38
1.39	0.41
1.41	0.31
1.47	0.34
1.53	0.35
1.53	0.36
1.52	0.31
1.34	0.48
1.18	0.48
1.15	0.46
1.21	0.42
1.18	0.46
1.17	0.45
1.15	0.43
1.24	0.43
1.22	0.44
1.21	0.45
1.2	0.44
1.37	0.34
1.2	0.42
1.47	0.33
1.54	0.4
1.48	0.39
1.29	0.38
1.25	0.37
1.45	0.31
1.48	0.35
1.43	0.34
1.21	0.48
1.27	0.41
1.31	0.33
1.46	0.27
1.57	0.24
1.42	0.32
1.72	0.27
1.5	0.35
1.67	0.21
1.45	0.23
1.36	0.29
1.7	0.25
1.79	0.22
1.79	0.28
1.79	0.26
1.54	0.32
1.47	0.29
2.5	0.09
2.57	0.09
2.58	0.12
2.6	0.1
2.49	0.1
2.15	0.16
